name,item_class,guide_item_type,drop_pool,is_breach_unique,base_item,tier,tier_raw,required_level,required_strength,required_dexterity,required_intelligence,attribute_requirements,has_foulborn_variant,wiki_page
Chober Chaber,Two Hand Mace,Two Hand Maces,core,no,Great Mallet,5,5 d,40,131,,,Str 131,no,https://www.poewiki.net/wiki/Chober_Chaber
Geofri's Baptism,Two Hand Mace,Two Hand Maces,core,no,Brass Maul,5,5 d,27,92,,,Str 92,no,https://www.poewiki.net/wiki/Geofri's_Baptism
Hrimnor's Hymn,Two Hand Mace,Two Hand Maces,core,no,Sledgehammer,5,5 d,17,62,,,Str 62,no,https://www.poewiki.net/wiki/Hrimnor's_Hymn
Jorrhast's Blacksteel,Two Hand Mace,Two Hand Maces,core,no,Steelhead,4,4 d,44,143,,,Str 143,yes,https://www.poewiki.net/wiki/Jorrhast's_Blacksteel
Kongor's Undying Rage,Two Hand Mace,Two Hand Maces,core,no,Terror Maul,4,4 d,67,212,,,Str 212,yes,https://www.poewiki.net/wiki/Kongor's_Undying_Rage
Marohi Erqi,Two Hand Mace,Two Hand Maces,core,no,Karui Maul,0,0 d,57,182,,,Str 182,no,https://www.poewiki.net/wiki/Marohi_Erqi
Quecholli,Two Hand Mace,Two Hand Maces,core,no,Jagged Maul,5,5 d,22,77,,,Str 77,no,https://www.poewiki.net/wiki/Quecholli
The Yielding Mortality,Staff,Two Hand Maces,core,no,Imperial Staff,,,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/The_Yielding_Mortality
Tidebreaker,Two Hand Mace,Two Hand Maces,core,no,Imperial Maul,1,1 d,65,212,,,Str 212,no,https://www.poewiki.net/wiki/Tidebreaker
Trypanon,Two Hand Mace,Two Hand Maces,core,no,Great Mallet,3,3 d,40,131,,,Str 131,no,https://www.poewiki.net/wiki/Trypanon
Voidhome,Two Hand Mace,Two Hand Maces,core,no,Dread Maul,4,4 d,54,173,,,Str 173,no,https://www.poewiki.net/wiki/Voidhome
Augyre,Sceptre,Sceptres,core,no,Void Sceptre,3,3 d,68,104,,122,"Str 104, Int 122",no,https://www.poewiki.net/wiki/Augyre
Axiom Perpetuum,Sceptre,Sceptres,core,no,Bronze Sceptre,5,5 d,10,22,,22,"Str 22, Int 22",no,https://www.poewiki.net/wiki/Axiom_Perpetuum
Balefire,Sceptre,Sceptres,core,no,Opal Sceptre,5,5 d,60,95,,131,"Str 95, Int 131",no,https://www.poewiki.net/wiki/Balefire
Bitterdream,Sceptre,Sceptres,core,no,Shadow Sceptre,3,3 d,32,52,,62,"Str 52, Int 62",no,https://www.poewiki.net/wiki/Bitterdream
Breath of the Council,Sceptre,Sceptres,core,no,Carnal Sceptre,4,4 d,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Breath_of_the_Council
Brutus' Lead Sprinkler,Sceptre,Sceptres,core,no,Ritual Sceptre,3,3 d,28,51,,51,"Str 51, Int 51",no,https://www.poewiki.net/wiki/Brutus'_Lead_Sprinkler
Death's Hand,Sceptre,Sceptres,core,no,Karui Sceptre,5,5 d,56,96,,96,"Str 96, Int 96",yes,https://www.poewiki.net/wiki/Death's_Hand
Doon Cuebiyari,Sceptre,Sceptres,core,no,Vaal Sceptre,3,3 d,64,113,,113,"Str 113, Int 113",yes,https://www.poewiki.net/wiki/Doon_Cuebiyari
Earendel's Embrace,Sceptre,Sceptres,core,no,Grinning Fetish,5,5 d,35,62,,62,"Str 62, Int 62",no,https://www.poewiki.net/wiki/Earendel's_Embrace
Maata's Teaching,Sceptre,Sceptres,core,no,Karui Sceptre,2,2 d,56,96,,96,"Str 96, Int 96",yes,https://www.poewiki.net/wiki/Maata's_Teaching
Mon'tregul's Grasp,Sceptre,Sceptres,core,no,Void Sceptre,3,3 d,68,104,,122,"Str 104, Int 122",yes,https://www.poewiki.net/wiki/Mon'tregul's_Grasp
Nycta's Lantern,Sceptre,Sceptres,core,no,Crystal Sceptre,3,3 d,41,59,,85,"Str 59, Int 85",no,https://www.poewiki.net/wiki/Nycta's_Lantern
Sign of the Sin Eater,Sceptre,Sceptres,core,no,Tyrant's Sekhem,5,5 d,58,99,,99,"Str 99, Int 99",no,https://www.poewiki.net/wiki/Sign_of_the_Sin_Eater
Singularity,Sceptre,Sceptres,core,no,Platinum Sceptre,4,4 d,62,113,,113,"Str 113, Int 113",yes,https://www.poewiki.net/wiki/Singularity
The Black Cane,Sceptre,Sceptres,core,no,Royal Sceptre,4,4 d,50,86,,86,"Str 86, Int 86",no,https://www.poewiki.net/wiki/The_Black_Cane
The Dark Seer,Sceptre,Sceptres,core,no,Shadow Sceptre,3,3,32,52,,62,"Str 52, Int 62",no,https://www.poewiki.net/wiki/The_Dark_Seer
The Supreme Truth,Sceptre,Sceptres,core,no,Crystal Sceptre,3,3 d,41,59,,85,"Str 59, Int 85",no,https://www.poewiki.net/wiki/The_Supreme_Truth
Brightbeak,One Hand Mace,One Hand Maces,core,no,War Hammer,5,5 d,20,71,,,Str 71,no,https://www.poewiki.net/wiki/Brightbeak
Callinellus Malleus,One Hand Mace,One Hand Maces,core,no,Auric Mace,5,5 d,66,212,,,Str 212,no,https://www.poewiki.net/wiki/Callinellus_Malleus
Cameria's Maul,One Hand Mace,One Hand Maces,core,no,Gavel,5,5 d,60,212,,,Str 212,no,https://www.poewiki.net/wiki/Cameria's_Maul
Clayshaper,One Hand Mace,One Hand Maces,core,no,Rock Breaker,5,5 d,41,134,,,Str 134,no,https://www.poewiki.net/wiki/Clayshaper
Flesh-Eater,One Hand Mace,One Hand Maces,core,no,Dream Mace,5,5 d,32,107,,,Str 107,no,https://www.poewiki.net/wiki/Flesh-Eater
Frostbreath,One Hand Mace,One Hand Maces,core,no,Ornate Mace,4,4 d,50,161,,,Str 161,yes,https://www.poewiki.net/wiki/Frostbreath
Lavianga's Wisdom,One Hand Mace,One Hand Maces,core,no,War Hammer,5,5 d,20,71,,,Str 71,no,https://www.poewiki.net/wiki/Lavianga's_Wisdom
Mjölner,One Hand Mace,One Hand Maces,core,no,Gavel,2,2 d,60,212,,,Str 212,yes,https://www.poewiki.net/wiki/Mjölner
The Monastery Bell,One Hand Mace,One Hand Maces,core,no,Dream Mace,4,4,32,107,,,Str 107,no,https://www.poewiki.net/wiki/The_Monastery_Bell
Gorebreaker,One Hand Mace,One Hand Maces,core,no,Spiked Club,5,5 d,10,41,,,Str 41,no,https://www.poewiki.net/wiki/Gorebreaker
Doomsower,Two Hand Sword,Two Hand Swords,core,no,Lion Sword,3,3 u,65,104,122,,"Str 104, Dex 122",yes,https://www.poewiki.net/wiki/Doomsower
Edge of Madness,Two Hand Sword,Two Hand Swords,core,no,Etched Greatsword,4,4 d,22,45,38,,"Str 45, Dex 38",yes,https://www.poewiki.net/wiki/Edge_of_Madness
Hiltless,Two Hand Sword,Two Hand Swords,core,no,Reaver Sword,4,4 d,59,82,119,,"Str 82, Dex 119",no,https://www.poewiki.net/wiki/Hiltless
Kondo's Pride,Two Hand Sword,Two Hand Swords,core,no,Ezomyte Blade,5,5 d,61,113,113,,"Str 113, Dex 113",no,https://www.poewiki.net/wiki/Kondo's_Pride
Oro's Sacrifice,Two Hand Sword,Two Hand Swords,core,no,Infernal Sword,5,5 d,67,113,113,,"Str 113, Dex 113",no,https://www.poewiki.net/wiki/Oro's_Sacrifice
Queen's Decree,Two Hand Sword,Two Hand Swords,core,no,Ornate Sword,5,5 d,27,45,54,,"Str 45, Dex 54",no,https://www.poewiki.net/wiki/Queen's_Decree
Rakiata's Dance,Two Hand Sword,Two Hand Swords,core,no,Engraved Greatsword,0,0 d,48,91,76,,"Str 91, Dex 76",no,https://www.poewiki.net/wiki/Rakiata's_Dance
Rigwald's Charge,Two Hand Sword,Two Hand Swords,core,no,Highland Blade,5,5 d,44,77,77,,"Str 77, Dex 77",no,https://www.poewiki.net/wiki/Rigwald's_Charge
Shiversting,Two Hand Sword,Two Hand Swords,core,no,Bastard Sword,5,5 d,14,21,30,,"Str 21, Dex 30",no,https://www.poewiki.net/wiki/Shiversting
Terminus Est,Two Hand Sword,Two Hand Swords,core,no,Tiger Sword,5,5 d,51,80,96,,"Str 80, Dex 96",no,https://www.poewiki.net/wiki/Terminus_Est
The Dancing Dervish,Two Hand Sword,Two Hand Swords,core,no,Reaver Sword,4,4 d,59,82,119,,"Str 82, Dex 119",yes,https://www.poewiki.net/wiki/The_Dancing_Dervish
Ichimonji,One Hand Sword,3x1 One Hand Swords,core,no,Corsair Sword,4,4 d,58,81,117,,"Str 81, Dex 117",no,https://www.poewiki.net/wiki/Ichimonji
Redbeak,One Hand Sword,3x1 One Hand Swords,core,no,Rusted Sword,5,5 d,1,8,8,,"Str 8, Dex 8",no,https://www.poewiki.net/wiki/Redbeak
The Princess,One Hand Sword,3x1 One Hand Swords,core,no,Sabre,5,5 d,10,18,26,,"Str 18, Dex 26",no,https://www.poewiki.net/wiki/The_Princess
Ahn's Might,One Hand Sword,3x2 One Hand Swords,core,no,Midnight Blade,4,4 d,68,113,113,,"Str 113, Dex 113",no,https://www.poewiki.net/wiki/Ahn's_Might
Beltimber Blade,One Hand Sword,3x2 One Hand Swords,core,no,Eternal Sword,3,3 u,66,104,122,,"Str 104, Dex 122",no,https://www.poewiki.net/wiki/Beltimber_Blade
Dreamfeather,One Hand Sword,3x2 One Hand Swords,core,no,Eternal Sword,3,3 u,66,104,122,,"Str 104, Dex 122",yes,https://www.poewiki.net/wiki/Dreamfeather
Ephemeral Edge,One Hand Sword,3x2 One Hand Swords,core,no,Dusk Blade,0,0 u,32,57,57,,"Str 57, Dex 57",no,https://www.poewiki.net/wiki/Ephemeral_Edge
Grelwood Shank,One Hand Sword,3x2 One Hand Swords,core,no,Eternal Sword,3,3 u,66,104,122,,"Str 104, Dex 122",no,https://www.poewiki.net/wiki/Grelwood_Shank
Hyaon's Fury,One Hand Sword,3x2 One Hand Swords,core,no,Legion Sword,4,4 d,62,122,104,,"Str 122, Dex 104",no,https://www.poewiki.net/wiki/Hyaon's_Fury
Innsbury Edge,One Hand Sword,3x2 One Hand Swords,core,no,Elder Sword,4,4 d,47,81,81,,"Str 81, Dex 81",no,https://www.poewiki.net/wiki/Innsbury_Edge
Lakishu's Blade,One Hand Sword,3x2 One Hand Swords,core,no,Elegant Sword,5,5 d,28,46,55,,"Str 46, Dex 55",no,https://www.poewiki.net/wiki/Lakishu's_Blade
Nametaker,One Hand Sword,3x2 One Hand Swords,core,no,Graceful Sword,,,50,78,94,,"Str 78, Dex 94",no,https://www.poewiki.net/wiki/Nametaker
Prismatic Eclipse,One Hand Sword,3x2 One Hand Swords,core,no,Twilight Blade,5,5 d,53,91,91,,"Str 91, Dex 91",no,https://www.poewiki.net/wiki/Prismatic_Eclipse
Razor of the Seventh Sun,One Hand Sword,3x2 One Hand Swords,core,no,Midnight Blade,3,3 u,68,113,113,,"Str 113, Dex 113",yes,https://www.poewiki.net/wiki/Razor_of_the_Seventh_Sun
Rebuke of the Vaal,One Hand Sword,3x2 One Hand Swords,core,no,Vaal Blade,3,3 u,64,113,113,,"Str 113, Dex 113",yes,https://www.poewiki.net/wiki/Rebuke_of_the_Vaal
Rigwald's Command,One Hand Sword,3x2 One Hand Swords,core,no,Midnight Blade,4,4 d,68,113,113,,"Str 113, Dex 113",yes,https://www.poewiki.net/wiki/Rigwald's_Command
Scaeva,One Hand Sword,3x2 One Hand Swords,core,no,Gladius,4,4 d,60,113,113,,"Str 113, Dex 113",no,https://www.poewiki.net/wiki/Scaeva
The Surging Thoughts,One Hand Sword,3x2 One Hand Swords,core,no,Legion Sword,,,62,122,104,,"Str 122, Dex 104",no,https://www.poewiki.net/wiki/The_Surging_Thoughts
The Tempestuous Steel,One Hand Sword,3x2 One Hand Swords,core,no,War Sword,5,5 d,20,41,35,,"Str 41, Dex 35",no,https://www.poewiki.net/wiki/The_Tempestuous_Steel
Varunastra,One Hand Sword,3x2 One Hand Swords,core,no,Vaal Blade,0,0 u,64,113,113,,"Str 113, Dex 113",no,https://www.poewiki.net/wiki/Varunastra
Aurumvorax,Thrusting One Hand Sword,4x1 One Hand Swords,core,no,Basket Rapier,5,5 d,17,,62,,Dex 62,no,https://www.poewiki.net/wiki/Aurumvorax
Cospri's Malice,Thrusting One Hand Sword,4x1 One Hand Swords,core,no,Jewelled Foil,2,2 d,68,,212,,Dex 212,yes,https://www.poewiki.net/wiki/Cospri's_Malice
Daresso's Passion,Thrusting One Hand Sword,4x1 One Hand Swords,core,no,Estoc,5,5 d,43,,140,,Dex 140,no,https://www.poewiki.net/wiki/Daresso's_Passion
Ewar's Mirage,Thrusting One Hand Sword,4x1 One Hand Swords,core,no,Antique Rapier,5,5 d,26,,89,,Dex 89,no,https://www.poewiki.net/wiki/Ewar's_Mirage
Fidelitas' Spike,Thrusting One Hand Sword,4x1 One Hand Swords,core,no,Jagged Foil,5,5 d,22,,77,,Dex 77,no,https://www.poewiki.net/wiki/Fidelitas'_Spike
The Goddess Bound,Thrusting One Hand Sword,4x1 One Hand Swords,core,no,Whalebone Rapier,4,4 d,7,,32,,Dex 32,no,https://www.poewiki.net/wiki/The_Goddess_Bound
Agnerod East,Staff,4x2 Staves,core,no,Imperial Staff,4,4 d,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Agnerod_East
Agnerod North,Staff,4x2 Staves,core,no,Imperial Staff,4,4 d,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Agnerod_North
Agnerod South,Staff,4x2 Staves,core,no,Imperial Staff,4,4 d,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Agnerod_South
Agnerod West,Staff,4x2 Staves,core,no,Imperial Staff,4,4 d,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Agnerod_West
Cane of Unravelling,Warstaff,4x2 Staves,core,no,Ezomyte Staff,4,4 d,60,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Cane_of_Unravelling
Dying Breath,Warstaff,4x2 Staves,core,no,Iron Staff,5,5 d,13,27,,27,"Str 27, Int 27",no,https://www.poewiki.net/wiki/Dying_Breath
Femurs of the Saints,Staff,4x2 Staves,core,no,Primordial Staff,5,5 d,58,99,,99,"Str 99, Int 99",no,https://www.poewiki.net/wiki/Femurs_of_the_Saints
Hegemony's Era,Warstaff,4x2 Staves,core,no,Judgement Staff,3,3 d,68,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Hegemony's_Era
Jiquani's Potential,Staff,4x2 Staves,core,no,Imperial Staff,3,3 u,66,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Jiquani's_Potential
Martyr of Innocence,Staff,4x2 Staves,core,no,Highborn Staff,1,1 d,52,89,,89,"Str 89, Int 89",no,https://www.poewiki.net/wiki/Martyr_of_Innocence
Pillar of the Caged God,Warstaff,4x2 Staves,core,no,Iron Staff,5,5 d,13,27,,27,"Str 27, Int 27",no,https://www.poewiki.net/wiki/Pillar_of_the_Caged_God
Realmshaper,Warstaff,4x2 Staves,core,no,Iron Staff,5,5 d,13,27,,27,"Str 27, Int 27",no,https://www.poewiki.net/wiki/Realmshaper
Sire of Shards,Warstaff,4x2 Staves,core,no,Serpentine Staff,4,4 d,49,85,,85,"Str 85, Int 85",yes,https://www.poewiki.net/wiki/Sire_of_Shards
Soulwrest,Warstaff,4x2 Staves,core,no,Ezomyte Staff,4,4 d,60,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Soulwrest
Taryn's Shiver,Warstaff,4x2 Staves,core,no,Maelström Staff,3,3 d,64,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/Taryn's_Shiver
The Burden of Shadows,Staff,4x2 Staves,core,no,Primordial Staff,,,58,99,,99,"Str 99, Int 99",no,https://www.poewiki.net/wiki/The_Burden_of_Shadows
The Grey Spire,Warstaff,4x2 Staves,core,no,Judgement Staff,3,3 d,68,113,,113,"Str 113, Int 113",no,https://www.poewiki.net/wiki/The_Grey_Spire
The Searing Touch,Staff,4x2 Staves,core,no,Lathi,3,3 d,62,113,,113,"Str 113, Int 113",yes,https://www.poewiki.net/wiki/The_Searing_Touch
The Stormheart,Staff,4x2 Staves,core,no,Royal Staff,5,5 d,28,51,,51,"Str 51, Int 51",no,https://www.poewiki.net/wiki/The_Stormheart
The Whispering Ice,Warstaff,4x2 Staves,core,no,Vile Staff,3,3 d,33,59,,59,"Str 59, Int 59",yes,https://www.poewiki.net/wiki/The_Whispering_Ice
Tremor Rod,Warstaff,4x2 Staves,core,no,Military Staff,3,3 d,41,72,,72,"Str 72, Int 72",yes,https://www.poewiki.net/wiki/Tremor_Rod
Fencoil,Staff,4x1 Staves,core,no,Gnarled Branch,5,5 d,1,12,,12,"Str 12, Int 12",no,https://www.poewiki.net/wiki/Fencoil
The Blood Thorn,Staff,4x1 Staves,core,no,Gnarled Branch,5,5 d,1,12,,12,"Str 12, Int 12",no,https://www.poewiki.net/wiki/The_Blood_Thorn
Arakaali's Fang,Rune Dagger,Daggers,core,no,Fiend Dagger,1,1 d,53,,58,123,"Dex 58, Int 123",no,https://www.poewiki.net/wiki/Arakaali's_Fang
Bino's Kitchen Knife,Rune Dagger,Daggers,core,no,Slaughter Knife,0,0 d,65,,81,117,"Dex 81, Int 117",no,https://www.poewiki.net/wiki/Bino's_Kitchen_Knife
Bloodplay,Dagger,Daggers,core,no,Stiletto,5,5 d,15,,30,30,"Dex 30, Int 30",no,https://www.poewiki.net/wiki/Bloodplay
Cold Iron Point,Rune Dagger,Daggers,core,no,Ezomyte Dagger,3,3 d,62,,95,131,"Dex 95, Int 131",no,https://www.poewiki.net/wiki/Cold_Iron_Point
Divinarius,Rune Dagger,Daggers,core,no,Imperial Skean,0,0 d,66,,95,131,"Dex 95, Int 131",no,https://www.poewiki.net/wiki/Divinarius
Goblinedge,Dagger,Daggers,core,no,Ambusher,5,5 d,60,,113,113,"Dex 113, Int 113",no,https://www.poewiki.net/wiki/Goblinedge
Goredrill,Dagger,Daggers,core,no,Skinning Knife,5,5 d,5,,16,11,"Dex 16, Int 11",no,https://www.poewiki.net/wiki/Goredrill
Heartbreaker,Rune Dagger,Daggers,core,no,Royal Skean,5,5 d,50,,71,102,"Dex 71, Int 102",no,https://www.poewiki.net/wiki/Heartbreaker
Mark of the Doubting Knight,Rune Dagger,Daggers,core,no,Platinum Kris,5,5 d,64,,76,149,"Dex 76, Int 149",no,https://www.poewiki.net/wiki/Mark_of_the_Doubting_Knight
Mightflay,Dagger,Daggers,core,no,Flaying Knife,5,5 d,30,,64,44,"Dex 64, Int 44",no,https://www.poewiki.net/wiki/Mightflay
Taproot,Dagger,Daggers,core,no,Ambusher,5,5 d,60,,113,113,"Dex 113, Int 113",no,https://www.poewiki.net/wiki/Taproot
The Consuming Dark,Rune Dagger,Daggers,core,no,Fiend Dagger,4,4 d,53,,58,123,"Dex 58, Int 123",yes,https://www.poewiki.net/wiki/The_Consuming_Dark
Ungil's Gauche,Rune Dagger,Daggers,core,no,Boot Knife,5,5 d,20,,31,45,"Dex 31, Int 45",no,https://www.poewiki.net/wiki/Ungil's_Gauche
Vulconus,Rune Dagger,Daggers,core,no,Demon Dagger,3,3 d,68,,76,149,"Dex 76, Int 149",no,https://www.poewiki.net/wiki/Vulconus
White Wind,Rune Dagger,Daggers,core,no,Imperial Skean,5,5 d,66,,95,131,"Dex 95, Int 131",no,https://www.poewiki.net/wiki/White_Wind
Widowmaker,Rune Dagger,Daggers,core,no,Boot Blade,5,5 d,44,,63,90,"Dex 63, Int 90",no,https://www.poewiki.net/wiki/Widowmaker
Advancing Fortress,Claw,Claws,core,no,Gut Ripper,5,5 d,46,,80,80,"Dex 80, Int 80",no,https://www.poewiki.net/wiki/Advancing_Fortress
Al Dhih,Claw,Claws,core,no,Timeworn Claw,4,4 d,26,,39,56,"Dex 39, Int 56",yes,https://www.poewiki.net/wiki/Al_Dhih
Allure,Claw,Claws,core,no,Vaal Claw,5,5 d,66,,95,131,"Dex 95, Int 131",no,https://www.poewiki.net/wiki/Allure
Bloodseeker,Claw,Claws,core,no,Hellion's Paw,0,0 d,62,,131,95,"Dex 131, Int 95",no,https://www.poewiki.net/wiki/Bloodseeker
Cybil's Paw,Claw,Claws,core,no,Thresher Claw,5,5 d,37,,53,77,"Dex 53, Int 77",yes,https://www.poewiki.net/wiki/Cybil's_Paw
Essentia Sanguis,Claw,Claws,core,no,Vaal Claw,0,0 d,66,,95,131,"Dex 95, Int 131",no,https://www.poewiki.net/wiki/Essentia_Sanguis
Last Resort,Claw,Claws,core,no,Nailed Fist,5,5 d,1,,11,11,"Dex 11, Int 11",no,https://www.poewiki.net/wiki/Last_Resort
Mortem Morsu,Claw,Claws,core,no,Fright Claw,5,5 d,34,,61,61,"Dex 61, Int 61",no,https://www.poewiki.net/wiki/Mortem_Morsu
Ornament of the East,Claw,Claws,core,no,Gut Ripper,5,5 d,46,,80,80,"Dex 80, Int 80",no,https://www.poewiki.net/wiki/Ornament_of_the_East
Rive,Claw,Claws,core,no,Terror Claw,5,5 d,70,,113,113,"Dex 113, Int 113",yes,https://www.poewiki.net/wiki/Rive
The Scourge,Claw,Claws,core,no,Terror Claw,3,3 d,70,,113,113,"Dex 113, Int 113",no,https://www.poewiki.net/wiki/The_Scourge
The Wasp Nest,Claw,Claws,core,no,Throat Stabber,5,5 d,60,,113,113,"Dex 113, Int 113",no,https://www.poewiki.net/wiki/The_Wasp_Nest
Touch of Anguish,Claw,Claws,core,no,Imperial Claw,4,4 d,68,,131,95,"Dex 131, Int 95",no,https://www.poewiki.net/wiki/Touch_of_Anguish
Wildslash,Claw,Claws,core,no,Awl,5,5 d,12,,25,25,"Dex 25, Int 25",no,https://www.poewiki.net/wiki/Wildslash
Abberath's Horn,Wand,Wands,core,no,Goat's Horn,5,5 d,6,,,29,Int 29,no,https://www.poewiki.net/wiki/Abberath's_Horn
Apep's Rage,Wand,Wands,core,no,Omen Wand,3,3 d,53,,,200,Int 200,yes,https://www.poewiki.net/wiki/Apep's_Rage
Ashcaller,Wand,Wands,core,no,Goat's Horn,4,4 d,6,,,29,Int 29,yes,https://www.poewiki.net/wiki/Ashcaller
Eclipse Solaris,Wand,Wands,core,no,Faun's Horn,1,1 u,35,,,116,Int 116,no,https://www.poewiki.net/wiki/Eclipse_Solaris
Lifesprig,Wand,Wands,core,no,Driftwood Wand,5,5 d,1,,,14,Int 14,no,https://www.poewiki.net/wiki/Lifesprig
Midnight Bargain,Wand,Wands,core,no,Calling Wand,4,4 d,20,,,81,Int 81,yes,https://www.poewiki.net/wiki/Midnight_Bargain
Moonsorrow,Wand,Wands,core,no,Kinetic Wand,5,5 d,59,,,188,Int 188,no,https://www.poewiki.net/wiki/Moonsorrow
Mystic Refractor,Wand,Wands,core,no,Pagan Wand,3,3 u,34,,,118,Int 118,no,https://www.poewiki.net/wiki/Mystic_Refractor
Obliteration,Wand,Wands,core,no,Omen Wand,5,5 d,53,,,200,Int 200,no,https://www.poewiki.net/wiki/Obliteration
Piscator's Vigil,Wand,Wands,core,no,Kinetic Wand,4,4 d,59,,,188,Int 188,yes,https://www.poewiki.net/wiki/Piscator's_Vigil
Reverberation Rod,Wand,Wands,core,no,Spiraled Wand,3,3 d,24,,,83,Int 83,yes,https://www.poewiki.net/wiki/Reverberation_Rod
Shade of Solaris,Wand,Wands,core,no,Sage Wand,1,1 d,30,,,119,Int 119,no,https://www.poewiki.net/wiki/Shade_of_Solaris
Storm Prison,Wand,Wands,core,no,Spiraled Wand,5,5 d,24,,,83,Int 83,no,https://www.poewiki.net/wiki/Storm_Prison
The Poet's Pen,Wand,Wands,core,no,Somatic Wand,2,2 d,12,,,47,Int 47,yes,https://www.poewiki.net/wiki/The_Poet's_Pen
